FirstName;LastName;Title;UserName;Company;Initials;Office;Password;
Mads;Kæk Mikkelsen;Direktør og ejer;mads.km;LogiTrans Jylland;Makm;Brande;Test1234;
Per;Pedersen;Salgschef;per.p;LogiTrans Jylland;Pepe;Brande;Test1234;
Pia;Poulsen;Salgskonsulent;pia.p;LogiTrans Jylland;Pipo;Brande;Test1234;
Bjarne;Hansen;Indkøbschef;bjarne.h;LogiTrans Jylland;Bjha;Brande;Test1234;
Henrik;Ottesen;Økonomichef;henrik.o;LogiTrans Jylland;Heot;Brande;Test1234;
Inge-Lise;Svendsen;Bogholder;inge.s;LogiTrans Jylland;Insv;Brande;Test1234;
Poul;Iversen;Lager/Driftchef Vejle;poul.i;LogiTrans Jylland;Poiv;Vejle;Test1234;
Irene;Petersen;Chauffør Vejle;irene.p;LogiTrans Jylland;Irpe;Vejle;Test1234;
Victor;Madsen;Lager/Driftchef Herning;victor.m;LogiTrans Jylland;Viha;Herning;Test1234;
Peter;Henriksen;Chauffør Herning;peter.h;LogiTrans Jylland;Pehe;Herning;Test1234;
Nicolai;Stoklund Hansen;IT-supporter;nicolai.sh;LogiTrans Jylland;Nsha;Brande;Test1234;
Robin;Sundstrøm;IT-supporter;MR. RS;LogiTrans Jylland;Rosu;Brande;Test1234;
Kenny;Lund Hansen;IT-supporter;kenny.lh;LogiTrans Jylland;Kelh;Brande;Test1234;
